transaction_id,txn_date,year,year_month,customer_code,region,qty,unit_price,item_supply_amount,supply_amount,tax,total_amount,is_modified,invoice_type,issue_type,receipt_type
T0551,2025-01-31,2025,2025-01,C30,부산광역시 중구,48544,17,825248,3729835,372982,4102817,N,세금계산서,ASP발급,청구
T0552,2025-01-31,2025,2025-01,C08,경기도 용인시,157840,360,56822400,61644600,6164460,67809060,N,세금계산서,ASP발급,청구
T0553,2025-01-31,2025,2025-01,C08,경기도 용인시,20,20000,400000,900000,90000,990000,N,세금계산서,ASP발급,청구
T0554,2025-01-31,2025,2025-01,C03,서울특별시 송파구,,,86953,444913,44491,489404,N,세금계산서,ASP발급,청구
T0555,2025-01-31,2025,2025-01,C03,서울특별시 송파구,36360,17,618120,2613720,261372,2875092,N,세금계산서,ASP발급,청구
T0556,2025-01-31,2025,2025-01,C03,서울특별시 송파구,312080,17,5305360,5305360,530536,5835896,N,세금계산서,ASP발급,청구
T0557,2025-01-31,2025,2025-01,C03,서울특별시 송파구,165520,375,62070000,80167200,8016720,88183920,N,세금계산서,ASP발급,청구
T0558,2025-01-31,2025,2025-01,C03,서울특별시 송파구,72880,365,26601200,164801200,16480120,181281320,N,세금계산서,ASP발급,청구
T0559,2025-01-31,2025,2025-01,C03,서울특별시 송파구,900000,370,333000000,333000000,33300000,366300000,N,세금계산서,ASP발급,청구
T0560,2025-01-31,2025,2025-01,C03,서울특별시 송파구,500000,370,185000000,185000000,18500000,203500000,N,세금계산서,ASP발급,청구
T0561,2025-01-31,2025,2025-01,C03,서울특별시 송파구,-36360,17,-618120,-2613720,-261372,-2875092,Y,수정세금계산서,ASP발급,청구
T0562,2025-01-31,2025,2025-01,C03,서울특별시 송파구,36360,17,618120,2577720,257772,2835492,Y,수정세금계산서,ASP발급,청구
T0563,2025-01-31,2025,2025-01,C01,경상북도 안동시,26170,370,9682900,9682900,968290,10651190,N,세금계산서,ASP발급,청구
T0564,2025-01-31,2025,2025-01,C15,경기도 용인시,25700,370,9509000,29375400,2937540,32312940,N,세금계산서,ASP발급,청구
T0565,2025-02-03,2025,2025-02,C28,경상남도 창녕군,,,200000,360000,36000,396000,N,세금계산서,인터넷발급,청구
T0566,2025-02-05,2025,2025-02,C39,경상남도 창원시,,,1000000,1000000,100000,1100000,N,세금계산서,ASP발급,청구
T0567,2025-02-06,2025,2025-02,C18,대구광역시 달서구,4,20000,80000,180000,18000,198000,N,세금계산서,인터넷발급,청구
T0568,2025-02-07,2025,2025-02,C28,경상남도 창녕군,5,20000,100000,200000,20000,220000,N,세금계산서,인터넷발급,청구
T0569,2025-02-07,2025,2025-02,C28,경상남도 창녕군,10,20000,200000,400000,40000,440000,N,세금계산서,인터넷발급,청구
T0570,2025-02-10,2025,2025-02,C28,경상남도 창녕군,8,20000,160000,360000,36000,396000,N,세금계산서,인터넷발급,청구
T0571,2025-02-10,2025,2025-02,C28,경상남도 창녕군,8,20000,160000,360000,36000,396000,N,세금계산서,인터넷발급,청구
